"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3665894411_3665894413[Simulated Levels\EUR Govt 20Y]"
"0","20241018","1.0002845091","1.0002845091"
"0","20241021","0.998926085413","0.998926085413"
"0","20241022","0.999792283209","0.999792283209"
"0","20241023","0.999983610504","0.999983610504"
"0","20241024","1.0004023709","1.0004023709"
"0","20241025","0.999786132265","0.999786132265"
"0","20241028","1.00004584804","1.00004584804"
"0","20241029","0.99982006184","0.99982006184"
"0","20241030","0.999703569548","0.999703569548"
"0","20241031","1.00044714522","1.00044714522"
"0","20241101","0.999612990146","0.999612990146"
"0","20241104","1.00049715002","1.00049715002"
"0","20241105","0.999822143696","0.999822143696"
"0","20241106","0.999734200686","0.999734200686"
"0","20241107","0.999551393378","0.999551393378"
"0","20241108","1.00097629486","1.00097629486"
"0","20241111","1.00028675584","1.00028675584"
"0","20241112","0.999647773214","0.999647773214"
"0","20241113","0.99976464213","0.99976464213"
"0","20241114","1.00059462891","1.00059462891"
"0","20241115","0.999945632074","0.999945632074"
"0","20241118","0.999920788343","0.999920788343"
"0","20241119","1.00020852554","1.00020852554"
"0","20241120","1.00006265172","1.00006265172"
"0","20241121","1.00014592478","1.00014592478"
"0","20241122","1.00040490135","1.00040490135"
"0","20241125","1.00050900421","1.00050900421"
"0","20241126","1.00042991766","1.00042991766"
"0","20241127","1.00034318272","1.00034318272"
"0","20241128","1.00024088778","1.00024088778"
"0","20241129","1.00034516778","1.00034516778"
"0","20241202","1.00046280196","1.00046280196"
"0","20241203","0.999940723075","0.999940723075"
"0","20241204","0.999949190473","0.999949190473"
"0","20241205","0.999727712703","0.999727712703"
"0","20241206","0.999850231619","0.999850231619"
"0","20241209","0.999683198916","0.999683198916"
"0","20241210","0.99998276055","0.99998276055"
"0","20241211","0.99969024297","0.99969024297"
"0","20241212","0.999312101835","0.999312101835"
"0","20241213","0.99954907348","0.99954907348"
"0","20241216","1.00005273704","1.00005273704"
"0","20241217","1.00024642733","1.00024642733"
"0","20241218","0.999841718839","0.999841718839"
"0","20241219","0.999257675848","0.999257675848"
"0","20241220","1.00024520271","1.00024520271"
"0","20241223","0.999680120236","0.999680120236"
"0","20241224","1.00003185201","1.00003185201"
"0","20241225","0.999999521869","0.999999521869"
