"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846051_3663846053[Simulated Levels\CDX.EM.OTR.5Y]"
"0","20250221","99.9654958012","99.9654958012"
"0","20250224","99.99702245","99.99702245"
"0","20250225","99.9908294107","99.9908294107"
"0","20250226","100.017674681","100.017674681"
"0","20250227","99.9770047364","99.9770047364"
"0","20250228","100.005410349","100.005410349"
"0","20250303","99.9842298303","99.9842298303"
"0","20250304","100.001495718","100.001495718"
"0","20250305","100.0188322","100.0188322"
"0","20250306","99.9738869959","99.9738869959"
"0","20250307","100.010279727","100.010279727"
"0","20250310","99.956653263","99.956653263"
"0","20250311","99.9952265613","99.9952265613"
"0","20250312","100.015830038","100.015830038"
"0","20250313","99.9616321103","99.9616321103"
"0","20250314","100.018815157","100.018815157"
"0","20250317","100.017872217","100.017872217"
"0","20250318","99.993780538","99.993780538"
"0","20250319","100.019354912","100.019354912"
"0","20250320","99.9505804312","99.9505804312"
"0","20250321","99.9504036794","99.9504036794"
"0","20250324","100.032286543","100.032286543"
"0","20250325","100.000007524","100.000007524"
"0","20250326","99.9618547611","99.9618547611"
"0","20250327","99.9748123023","99.9748123023"
"0","20250328","99.9483498666","99.9483498666"
"0","20250331","99.9855064812","99.9855064812"
"0","20250401","99.9870540713","99.9870540713"
"0","20250402","99.9864541326","99.9864541326"
"0","20250403","99.8997067488","99.8997067488"
"0","20250404","99.8704745986","99.8704745986"
"0","20250407","99.9211424005","99.9211424005"
"0","20250408","99.9577217744","99.9577217744"
"0","20250409","100.22494536","100.22494536"
"0","20250410","99.8344048141","99.8344048141"
"0","20250411","100.011278037","100.011278037"
"0","20250414","100.043059211","100.043059211"
"0","20250415","100.013600249","100.013600249"
"0","20250416","99.9699095981","99.9699095981"
"0","20250417","100.037063244","100.037063244"
"0","20250418","100","100"
"0","20250421","99.9607160769","99.9607160769"
"0","20250422","100.032735252","100.032735252"
"0","20250423","100.049246177","100.049246177"
"0","20250424","100.04238369","100.04238369"
"0","20250425","100.017201272","100.017201272"
"0","20250428","99.9809670361","99.9809670361"
"0","20250429","100.002236827","100.002236827"
"0","20250430","99.9682059286","99.9682059286"
"0","20250501","99.9831471049","99.9831471049"
"0","20250502","100.030965174","100.030965174"
"0","20250505","99.9922055924","99.9922055924"
"0","20250506","100.022214169","100.022214169"
"0","20250507","100.014380783","100.014380783"
"0","20250508","100.024524745","100.024524745"
"0","20250509","100.004684783","100.004684783"
"0","20250512","100.14442962","100.14442962"
"0","20250513","100.031794557","100.031794557"
"0","20250514","99.9901566787","99.9901566787"
"0","20250515","99.9970246249","99.9970246249"
"0","20250516","100.013955258","100.013955258"
"0","20250519","99.9944000219","99.9944000219"
"0","20250520","100.006118898","100.006118898"
"0","20250521","99.954475934","99.954475934"
"0","20250522","100.016696258","100.016696258"
"0","20250523","99.9618916319","99.9618916319"
"0","20250526","100","100"
"0","20250527","100.047734138","100.047734138"
"0","20250528","99.9984542186","99.9984542186"
"0","20250529","99.9923923815","99.9923923815"
"0","20250530","99.9881459817","99.9881459817"
"0","20250602","100.03012043","100.03012043"
"0","20250603","100.018756585","100.018756585"
"0","20250604","100.011748703","100.011748703"
"0","20250605","99.9849905959","99.9849905959"
"0","20250606","100.028486467","100.028486467"
"0","20250609","100.01138164","100.01138164"
"0","20250610","100.031746148","100.031746148"
"0","20250611","100.003577781","100.003577781"
"0","20250612","99.9724903327","99.9724903327"
"0","20250613","99.9527949061","99.9527949061"
"0","20250616","100.045378832","100.045378832"
"0","20250617","99.9605446994","99.9605446994"
