"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3667644721_3667644723[Simulated Levels\FX CAD]"
"0","20241018","1.00085053843","1.00085053843"
"0","20241021","1.00146608514","1.00146608514"
"0","20241022","0.999279088237","0.999279088237"
"0","20241023","1.00138761875","1.00138761875"
"0","20241024","1.00010277173","1.00010277173"
"0","20241025","1.00087248866","1.00087248866"
"0","20241028","1.00194493845","1.00194493845"
"0","20241029","1.00028139293","1.00028139293"
"0","20241030","1.00012788289","1.00012788289"
"0","20241031","1.0014294114","1.0014294114"
"0","20241101","0.999284575771","0.999284575771"
"0","20241104","0.998155569502","0.998155569502"
"0","20241105","0.998099272005","0.998099272005"
"0","20241106","1.00350160008","1.00350160008"
"0","20241107","0.997151581131","0.997151581131"
"0","20241108","1.00163855001","1.00163855001"
"0","20241111","1.00168575184","1.00168575184"
"0","20241112","1.00056147392","1.00056147392"
"0","20241113","1.00147717672","1.00147717672"
"0","20241114","1.00210763001","1.00210763001"
"0","20241115","1.00336133398","1.00336133398"
"0","20241118","0.998505750877","0.998505750877"
"0","20241119","0.996359819265","0.996359819265"
"0","20241120","1.00144802861","1.00144802861"
"0","20241121","0.99701526415","0.99701526415"
"0","20241122","1.00157814727","1.00157814727"
"0","20241125","1.00050871584","1.00050871584"
"0","20241126","1.0035432799","1.0035432799"
"0","20241127","0.998376519531","0.998376519531"
"0","20241128","0.999187332757","0.999187332757"
"0","20241129","0.999542580842","0.999542580842"
"0","20241202","1.00404284856","1.00404284856"
"0","20241203","0.999241157555","0.999241157555"
"0","20241204","0.999949406907","0.999949406907"
"0","20241205","0.998428149799","0.998428149799"
"0","20241206","1.00523451452","1.00523451452"
"0","20241209","0.998764728626","0.998764728626"
"0","20241210","1.00278730737","1.00278730737"
"0","20241211","0.998540582203","0.998540582203"
"0","20241212","1.0022074204","1.0022074204"
"0","20241213","1.00269883247","1.00269883247"
"0","20241216","0.999574930023","0.999574930023"
"0","20241217","1.00415132791","1.00415132791"
"0","20241218","1.00054646156","1.00054646156"
"0","20241219","1.00217915263","1.00217915263"
"0","20241220","1","1"
"0","20241223","1.00212327221","1.00212327221"
"0","20241224","0.998515557174","0.998515557174"
"0","20241225","1","1"
"0","20241226","1.00153062492","1.00153062492"
"0","20241227","0.9999012363","0.9999012363"
"0","20241230","0.998812858472","0.998812858472"
"0","20241231","0.999777341317","0.999777341317"
"0","20250101","1","1"
"0","20250102","1.00199830089","1.00199830089"
"0","20250103","1.0007147225","1.0007147225"
"0","20250106","0.996258949635","0.996258949635"
"0","20250107","0.999156645994","0.999156645994"
"0","20250108","1.0021514697","1.0021514697"
"0","20250109","1.0005683251","1.0005683251"
"0","20250110","1.00123334804","1.00123334804"
"0","20250113","0.999851967447","0.999851967447"
"0","20250114","0.996703410625","0.996703410625"
"0","20250115","0.999330137607","0.999330137607"
"0","20250116","1.00237378805","1.00237378805"
"0","20250117","1.00059295253","1.00059295253"
"0","20250120","0.997022833805","0.997022833805"
"0","20250121","1.00178182698","1.00178182698"
"0","20250122","1","1"
"0","20250123","1.00014845461","1.00014845461"
"0","20250124","0.997417448316","0.997417448316"
"0","20250127","1.00277038204","1.00277038204"
"0","20250128","1.00042025608","1.00042025608"
"0","20250129","1.00248808572","1.00248808572"
"0","20250130","0.998370398949","0.998370398949"
"0","20250131","1.00353781701","1.00353781701"
"0","20250203","1.0044434872","1.0044434872"
"0","20250204","0.987882718546","0.987882718546"
"0","20250205","0.997858150181","0.997858150181"
"0","20250206","1.00176388834","1.00176388834"
"0","20250207","0.999428140371","0.999428140371"
"0","20250210","1.00054657603","1.00054657603"
"0","20250211","0.999602267985","0.999602267985"
"0","20250212","0.999103976167","0.999103976167"
"0","20250213","0.996347473936","0.996347473936"
"0","20250214","0.99723741357","0.99723741357"
"0","20250217","1.00100316074","1.00100316074"
"0","20250218","1.0000501545","1.0000501545"
"0","20250219","1.0016013325","1.0016013325"
"0","20250220","0.998495577006","0.998495577006"
"0","20250221","1.00065131995","1.00065131995"
"0","20250224","1.00174924327","1.00174924327"
"0","20250225","1.00278782472","1.00278782472"
"0","20250226","1.00262873037","1.00262873037"
"0","20250227","1.00394589305","1.00394589305"
"0","20250228","0.99891322222","0.99891322222"
"0","20250303","0.999802349158","0.999802349158"
"0","20250304","1.00483408892","1.00483408892"
"0","20250305","0.994933790042","0.994933790042"
"0","20250306","0.993616665252","0.993616665252"
"0","20250307","1.00463247257","1.00463247257"
"0","20250310","1.00337773445","1.00337773445"
"0","20250311","1.0016235173","1.0016235173"
"0","20250312","0.996812548183","0.996812548183"
"0","20250313","0.999925865491","0.999925865491"
"0","20250314","0.999109272369","0.999109272369"
"0","20250317","0.995969020654","0.995969020654"
"0","20250318","1.00064635968","1.00064635968"
"0","20250319","1.00091863215","1.00091863215"
"0","20250320","0.999875838861","0.999875838861"
"0","20250321","1.00138789261","1.00138789261"
"0","20250324","0.996913479779","0.996913479779"
"0","20250325","1.00074595599","1.00074595599"
"0","20250326","0.997379539849","0.997379539849"
"0","20250327","1.0031554547","1.0031554547"
"0","20250328","0.998131649995","0.998131649995"
"0","20250331","1.00541407524","1.00541407524"
"0","20250401","0.996771585082","0.996771585082"
"0","20250402","0.999005252979","0.999005252979"
"0","20250403","0.98680314177","0.98680314177"
"0","20250404","1.00875636347","1.00875636347"
"0","20250407","1.00005003285","1.00005003285"
"0","20250408","0.998746976422","0.998746976422"
"0","20250409","1.00020042731","1.00020042731"
"0","20250410","0.989758161799","0.989758161799"
"0","20250411","0.994287183223","0.994287183223"
"0","20250414","0.998793912731","0.998793912731"
"0","20250415","1.00217455629","1.00217455629"
"0","20250416","0.999000861546","0.999000861546"
"0","20250417","0.999384613857","0.999384613857"
"0","20250418","1","1"
"0","20250421","0.996547423945","0.996547423945"
"0","20250422","1.00087494967","1.00087494967"
"0","20250423","1.00113048903","1.00113048903"
"0","20250424","1.00161498128","1.00161498128"
"0","20250425","0.999153050602","0.999153050602"
"0","20250428","0.998508301901","0.998508301901"
"0","20250429","1.00159100874","1.00159100874"
"0","20250430","0.99729530874","0.99729530874"
"0","20250501","1.00131128643","1.00131128643"
"0","20250502","0.99633013854","0.99633013854"
"0","20250505","1.00221567195","1.00221567195"
"0","20250506","0.999071298988","0.999071298988"
"0","20250507","0.999225239902","0.999225239902"
"0","20250508","1.00619532145","1.00619532145"
"0","20250509","1.00148173738","1.00148173738"
"0","20250512","1.00350813299","1.00350813299"
"0","20250513","0.999134626306","0.999134626306"
"0","20250514","0.998878339437","0.998878339437"
"0","20250515","1.00193215331","1.00193215331"
"0","20250516","0.999287441255","0.999287441255"
"0","20250519","0.997394747163","0.997394747163"
"0","20250520","1.00071444943","1.00071444943"
"0","20250521","0.994859928853","0.994859928853"
"0","20250522","1.00148750476","1.00148750476"
"0","20250523","0.993895472815","0.993895472815"
"0","20250526","0.998600454307","0.998600454307"
"0","20250527","1.00144842658","1.00144842658"
"0","20250528","1.00288510845","1.00288510845"
"0","20250529","0.999845407042","0.999845407042"
"0","20250530","0.996894648606","0.996894648606"
"0","20250602","0.997428828546","0.997428828546"
"0","20250603","1.00038935828","1.00038935828"
"0","20250604","0.997865122515","0.997865122515"
"0","20250605","0.999374608679","0.999374608679"
"0","20250606","1.00181939444","1.00181939444"
"0","20250609","0.99963593495","0.99963593495"
"0","20250610","0.999687807341","0.999687807341"
"0","20250611","0.999531402644","0.999531402644"
