"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3665894419_3665894421[Simulated Levels\JPY Govt 10Y]"
"0","20241018","1.00002178879","1.00002178879"
"0","20241021","0.999945421705","0.999945421705"
"0","20241022","0.999931931904","0.999931931904"
"0","20241023","0.99996786458","0.99996786458"
"0","20241024","1.0002466244","1.0002466244"
"0","20241025","0.999999009549","0.999999009549"
"0","20241028","0.999764230068","0.999764230068"
"0","20241029","0.999917782264","0.999917782264"
"0","20241030","1.0004008371","1.0004008371"
"0","20241031","0.999938013009","0.999938013009"
"0","20241101","1.00011587348","1.00011587348"
"0","20241104","1","1"
"0","20241105","1.00009136466","1.00009136466"
"0","20241106","0.999445916094","0.999445916094"
"0","20241107","0.999738304305","0.999738304305"
"0","20241108","1.00014389993","1.00014389993"
"0","20241111","0.999959613437","0.999959613437"
"0","20241112","0.999898521932","0.999898521932"
"0","20241113","0.999674050074","0.999674050074"
"0","20241114","0.999795328158","0.999795328158"
"0","20241115","0.999961444923","0.999961444923"
"0","20241118","0.999886730419","0.999886730419"
"0","20241119","1.00027688804","1.00027688804"
"0","20241120","0.999766137309","0.999766137309"
"0","20241121","0.999798297824","0.999798297824"
"0","20241122","1.00019572436","1.00019572436"
"0","20241125","1.00007357725","1.00007357725"
"0","20241126","0.999989600811","0.999989600811"
"0","20241127","1.00006139402","1.00006139402"
"0","20241128","1.00013329493","1.00013329493"
"0","20241129","1.00005050551","1.00005050551"
"0","20241202","0.999768207184","0.999768207184"
"0","20241203","0.999924564495","0.999924564495"
"0","20241204","1.00017082549","1.00017082549"
"0","20241205","0.999867644788","0.999867644788"
"0","20241206","1.00023686903","1.00023686903"
"0","20241209","1.00000825468","1.00000825468"
"0","20241210","0.999774021631","0.999774021631"
"0","20241211","1.00004283131","1.00004283131"
"0","20241212","1.00017436111","1.00017436111"
"0","20241213","1.00006910578","1.00006910578"
"0","20241216","0.999712627442","0.999712627442"
"0","20241217","0.999838537594","0.999838537594"
"0","20241218","1.00018306796","1.00018306796"
"0","20241219","1.00000902082","1.00000902082"
"0","20241220","1.00016124852","1.00016124852"
"0","20241223","0.999847910676","0.999847910676"
"0","20241224","0.999940797102","0.999940797102"
"0","20241225","0.99993741544","0.99993741544"
"0","20241226","0.999798065852","0.999798065852"
"0","20241227","0.999867471062","0.999867471062"
"0","20241230","1.00031964055","1.00031964055"
"0","20241231","0.999999948794","0.999999948794"
"0","20250101","1","1"
"0","20250102","1","1"
"0","20250103","1","1"
"0","20250106","0.999539928826","0.999539928826"
"0","20250107","0.999930388773","0.999930388773"
"0","20250108","0.999472466654","0.999472466654"
"0","20250109","0.999989715355","0.999989715355"
"0","20250110","0.999810059541","0.999810059541"
"0","20250113","1","1"
"0","20250114","0.999616208241","0.999616208241"
"0","20250115","0.999861461562","0.999861461562"
"0","20250116","1.00053658615","1.00053658615"
"0","20250117","1.00005160114","1.00005160114"
"0","20250120","1.00002939344","1.00002939344"
"0","20250121","1.00007217821","1.00007217821"
"0","20250122","0.999941780196","0.999941780196"
"0","20250123","0.999858415227","0.999858415227"
"0","20250124","0.999778948012","0.999778948012"
"0","20250127","1.00058840723","1.00058840723"
"0","20250128","0.999732259713","0.999732259713"
"0","20250129","1.00005400792","1.00005400792"
"0","20250130","0.999804869475","0.999804869475"
"0","20250131","0.999703042755","0.999703042755"
"0","20250203","0.999934479335","0.999934479335"
"0","20250204","0.999696232871","0.999696232871"
"0","20250205","0.999960756592","0.999960756592"
"0","20250206","0.999922861385","0.999922861385"
"0","20250207","0.999881341913","0.999881341913"
"0","20250210","0.999826651001","0.999826651001"
"0","20250211","1","1"
"0","20250212","0.999760593545","0.999760593545"
"0","20250213","0.999975975365","0.999975975365"
"0","20250214","0.999745594562","0.999745594562"
"0","20250217","0.999699638346","0.999699638346"
"0","20250218","0.999650968628","0.999650968628"
"0","20250219","0.999779083197","0.999779083197"
"0","20250220","0.999960375543","0.999960375543"
"0","20250221","1.00032073967","1.00032073967"
"0","20250224","1","1"
"0","20250225","1.00065745245","1.00065745245"
"0","20250226","0.999959900983","0.999959900983"
"0","20250227","0.999487703988","0.999487703988"
"0","20250228","1.00041880022","1.00041880022"
"0","20250303","0.999645083659","0.999645083659"
"0","20250304","0.999895165217","0.999895165217"
"0","20250305","0.999702243461","0.999702243461"
"0","20250306","0.999318128967","0.999318128967"
"0","20250307","1.00007128906","1.00007128906"
"0","20250310","0.999409684076","0.999409684076"
"0","20250311","1.00053478603","1.00053478603"
"0","20250312","0.99991555873","0.99991555873"
"0","20250313","0.999797156973","0.999797156973"
"0","20250314","1.00019680784","1.00019680784"
"0","20250317","1.00023031673","1.00023031673"
"0","20250318","0.999887459581","0.999887459581"
"0","20250319","0.999849447779","0.999849447779"
"0","20250320","1","1"
"0","20250321","1.00009863351","1.00009863351"
"0","20250324","0.999746594394","0.999746594394"
"0","20250325","0.999643861875","0.999643861875"
"0","20250326","0.999928029064","0.999928029064"
"0","20250327","1.00000036155","1.00000036155"
"0","20250328","1.00038765073","1.00038765073"
"0","20250331","1.00057942281","1.00057942281"
"0","20250401","0.999937728583","0.999937728583"
"0","20250402","1.00028598207","1.00028598207"
"0","20250403","1.00158259639","1.00158259639"
"0","20250404","1.0015129744","1.0015129744"
"0","20250407","1.0004908629","1.0004908629"
"0","20250408","0.998270466687","0.998270466687"
"0","20250409","0.99994349243","0.99994349243"
"0","20250410","0.99949852809","0.99949852809"
"0","20250411","1.00040505821","1.00040505821"
"0","20250414","0.999501657631","0.999501657631"
