"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3678075716_3678075718[Simulated Levels\FX EUR]"
"0","20241018","0.996821285094","0.996821285094"
"0","20241021","1.00241785632","1.00241785632"
"0","20241022","1.00269208583","1.00269208583"
"0","20241023","1.00377763645","1.00377763645"
"0","20241024","0.99756363109","0.99756363109"
"0","20241025","0.996326047696","0.996326047696"
"0","20241028","1.00140033698","1.00140033698"
"0","20241029","1.00215695337","1.00215695337"
"0","20241030","0.99297691809","0.99297691809"
"0","20241031","1.00075180651","1.00075180651"
"0","20241101","1.00080602634","1.00080602634"
"0","20241104","0.994622776293","0.994622776293"
"0","20241105","0.999678846683","0.999678846683"
"0","20241106","1.01749803935","1.01749803935"
"0","20241107","0.992014143037","0.992014143037"
"0","20241108","1.00679848779","1.00679848779"
"0","20241111","1.01096304307","1.01096304307"
"0","20241112","1.00421862087","1.00421862087"
"0","20241113","1.00219944389","1.00219944389"
"0","20241114","1.00148742858","1.00148742858"
"0","20241115","1.00452314202","1.00452314202"
"0","20241118","0.995736129568","0.995736129568"
"0","20241119","0.998565493923","0.998565493923"
"0","20241120","1.00727393378","1.00727393378"
"0","20241121","1.00105357397","1.00105357397"
"0","20241122","1.01121127866","1.01121127866"
"0","20241125","0.991201741114","0.991201741114"
"0","20241126","1.00072306574","1.00072306574"
"0","20241127","0.990037767125","0.990037767125"
"0","20241128","1.00198661496","1.00198661496"
"0","20241129","0.999060276212","0.999060276212"
"0","20241202","1.01021817601","1.01021817601"
"0","20241203","0.994650747409","0.994650747409"
"0","20241204","0.998668790112","0.998668790112"
"0","20241205","0.995124459851","0.995124459851"
"0","20241206","1.00110346621","1.00110346621"
"0","20241209","0.996852144176","0.996852144176"
"0","20241210","1.00963846535","1.00963846535"
"0","20241211","1.00166607168","1.00166607168"
"0","20241212","1.00172406931","1.00172406931"
"0","20241213","0.998329076762","0.998329076762"
"0","20241216","0.997997759558","0.997997759558"
"0","20241217","1.00088836014","1.00088836014"
"0","20241218","1.00300050005","1.00300050005"
"0","20241219","1.01036170264","1.01036170264"
"0","20241220","0.997807917429","0.997807917429"
"0","20241223","1.00084152762","1.00084152762"
"0","20241224","0.999831572996","0.999831572996"
"0","20241225","1","1"
"0","20241226","0.9980353019","0.9980353019"
"0","20241227","0.998599003362","0.998599003362"
"0","20241230","1.00470170305","1.00470170305"
"0","20241231","1.00286615529","1.00286615529"
"0","20250101","1","1"
"0","20250102","1.0090140029","1.0090140029"
"0","20250103","0.99841026764","0.99841026764"
"0","20250106","0.988093230635","0.988093230635"
"0","20250107","1.00241342361","1.00241342361"
"0","20250108","1.0080989154","1.0080989154"
"0","20250109","1.0001132712","1.0001132712"
"0","20250110","1.00566410991","1.00566410991"
"0","20250113","1.00597632811","1.00597632811"
"0","20250114","0.988843961459","0.988843961459"
"0","20250115","0.998753290592","0.998753290592"
"0","20250116","1.00056608122","1.00056608122"
"0","20250117","0.9999433644","0.9999433644"
"0","20250120","0.988730062615","0.988730062615"
"0","20250121","1","1"
"0","20250122","0.997868539974","0.997868539974"
"0","20250123","1.00246350593","1.00246350593"
"0","20250124","0.986478155807","0.986478155807"
"0","20250127","1.00210764879","1.00210764879"
"0","20250128","1.00827915754","1.00827915754"
"0","20250129","1.00050365725","1.00050365725"
"0","20250130","0.998712320058","0.998712320058"
"0","20250131","1.00402655419","1.00402655419"
"0","20250203","1.00909112116","1.00909112116"
"0","20250204","0.992534247903","0.992534247903"
"0","20250205","0.995391671885","0.995391671885"
"0","20250206","1.00582171472","1.00582171472"
"0","20250207","1.00281293698","1.00281293698"
"0","20250210","1.00327089274","1.00327089274"
"0","20250211","0.997115784499","0.997115784499"
"0","20250212","0.996333103665","0.996333103665"
"0","20250213","0.993251554442","0.993251554442"
"0","20250214","0.991612953467","0.991612953467"
"0","20250217","1.00321984584","1.00321984584"
"0","20250218","1.00139170523","1.00139170523"
"0","20250219","1.00479318334","1.00479318334"
"0","20250220","0.994347575307","0.994347575307"
"0","20250221","1.00217209652","1.00217209652"
"0","20250224","0.998437637494","0.998437637494"
"0","20250225","0.99676800554","0.99676800554"
"0","20250226","0.999055308154","0.999055308154"
"0","20250227","1.01038320326","1.01038320326"
"0","20250228","1.00145661673","1.00145661673"
"0","20250303","0.99040796875","0.99040796875"
"0","20250304","0.995326546183","0.995326546183"
"0","20250305","0.973788993113","0.973788993113"
"0","20250306","0.99414673913","0.99414673913"
"0","20250307","0.994391662045","0.994391662045"
"0","20250310","1.00348844296","1.00348844296"
"0","20250311","0.99036455594","0.99036455594"
"0","20250312","1.00053388396","1.00053388396"
"0","20250313","1.00683684307","1.00683684307"
"0","20250314","0.998441897679","0.998441897679"
"0","20250317","0.994741710738","0.994741710738"
"0","20250318","0.9994124319","0.9994124319"
"0","20250319","1.00533883957","1.00533883957"
"0","20250320","1.00321802887","1.00321802887"
"0","20250321","1.00408744353","1.00408744353"
"0","20250324","1.00161913683","1.00161913683"
"0","20250325","0.999297399018","0.999297399018"
"0","20250326","1.00199850701","1.00199850701"
"0","20250327","0.998268595808","0.998268595808"
"0","20250328","0.997298689572","0.997298689572"
"0","20250331","1.00226385937","1.00226385937"
"0","20250401","0.999081894557","0.999081894557"
"0","20250402","0.995035336016","0.995035336016"
"0","20250403","0.971842813061","0.971842813061"
"0","20250404","1.01364190313","1.01364190313"
"0","20250407","1.00700782636","1.00700782636"
"0","20250408","1.001228439","1.001228439"
"0","20250409","0.986365995326","0.986365995326"
"0","20250410","0.984990850206","0.984990850206"
"0","20250411","0.983511783909","0.983511783909"
