"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3667644729_3667644731[Simulated Levels\FX JPY]"
"0","20241018","0.999981114747","0.999981114747"
"0","20241021","1.00002831783","1.00002831783"
"0","20241022","1.00003258201","1.00003258201"
"0","20241023","1.00008948043","1.00008948043"
"0","20241024","0.999950330535","0.999950330535"
"0","20241025","1.00000590258","1.00000590258"
"0","20241028","1.00005162606","1.00005162606"
"0","20241029","1.00001061193","1.00001061193"
"0","20241030","0.999986328032","0.999986328032"
"0","20241031","0.99996334037","0.99996334037"
"0","20241101","1.00002781428","1.00002781428"
"0","20241104","0.999958015079","0.999958015079"
"0","20241105","1.00000087457","1.00000087457"
"0","20241106","1.00009971316","1.00009971316"
"0","20241107","0.999940242749","0.999940242749"
"0","20241108","0.999976448556","0.999976448556"
"0","20241111","1.00006307199","1.00006307199"
"0","20241112","1.00002753349","1.00002753349"
"0","20241113","1.00002144116","1.00002144116"
"0","20241114","1.00004006643","1.00004006643"
"0","20241115","0.999956237454","0.999956237454"
"0","20241118","1.00000171574","1.00000171574"
"0","20241119","0.999955741576","0.999955741576"
"0","20241120","1.00006985574","1.00006985574"
"0","20241121","0.999945292432","0.999945292432"
"0","20241122","1.00002489101","1.00002489101"
"0","20241125","0.999976960617","0.999976960617"
"0","20241126","0.999960361242","0.999960361242"
"0","20241127","0.999895271632","0.999895271632"
"0","20241128","1.00001974278","1.00001974278"
"0","20241129","0.999940685862","0.999940685862"
"0","20241202","0.99998802712","0.99998802712"
"0","20241203","0.999967022658","0.999967022658"
"0","20241204","1.0000554612","1.0000554612"
"0","20241205","0.999991592866","0.999991592866"
"0","20241206","0.99998447701","0.99998447701"
"0","20241209","1.00004996052","1.00004996052"
"0","20241210","1.00004806977","1.00004806977"
"0","20241211","1.00001547731","1.00001547731"
"0","20241212","0.999992580058","0.999992580058"
"0","20241213","1.00005947729","1.00005947729"
"0","20241216","1.00002370608","1.00002370608"
"0","20241217","0.999970125999","0.999970125999"
"0","20241218","1.00002179263","1.00002179263"
"0","20241219","1.00015365956","1.00015365956"
"0","20241220","0.999949666604","0.999949666604"
"0","20241223","1.00002665224","1.00002665224"
"0","20241224","1.00000845027","1.00000845027"
"0","20241225","1","1"
"0","20241226","1.00003049175","1.00003049175"
"0","20241227","0.999978481204","0.999978481204"
"0","20241230","0.999984987404","0.999984987404"
"0","20241231","0.99999830801","0.99999830801"
"0","20250101","1","1"
"0","20250102","0.999999788494","0.999999788494"
"0","20250103","1.00001034764","1.00001034764"
"0","20250106","1.00000443175","1.00000443175"
"0","20250107","1.00001767984","1.00001767984"
"0","20250108","1.00002077185","1.00002077185"
"0","20250109","0.999981273714","0.999981273714"
"0","20250110","0.999983336126","0.999983336126"
"0","20250113","0.999997678903","0.999997678903"
"0","20250114","1.0000176776","1.0000176776"
"0","20250115","0.999930678663","0.999930678663"
"0","20250116","0.9999623631","0.9999623631"
"0","20250117","1.00002938033","1.00002938033"
"0","20250120","0.999981211769","0.999981211769"
"0","20250121","0.999983304974","0.999983304974"
"0","20250122","1.00004760139","1.00004760139"
"0","20250123","0.99998935768","0.99998935768"
"0","20250124","0.999980788466","0.999980788466"
"0","20250127","0.999941426903","0.999941426903"
"0","20250128","1.00005869626","1.00005869626"
"0","20250129","0.999969121744","0.999969121744"
"0","20250130","0.999962261314","0.999962261314"
"0","20250131","1.00003069551","1.00003069551"
"0","20250203","0.999997208328","0.999997208328"
"0","20250204","0.999993981724","0.999993981724"
"0","20250205","0.999890764877","0.999890764877"
"0","20250206","0.99998027935","0.99998027935"
"0","20250207","0.999986386844","0.999986386844"
"0","20250210","1.00001008476","1.00001008476"
"0","20250211","1.00003922924","1.00003922924"
"0","20250212","1.00008307368","1.00008307368"
"0","20250213","0.99994313084","0.99994313084"
"0","20250214","0.999957622343","0.999957622343"
"0","20250217","0.999964864633","0.999964864633"
"0","20250218","1.0000131497","1.0000131497"
"0","20250219","0.9999883641","0.9999883641"
"0","20250220","0.999914836963","0.999914836963"
"0","20250221","1.00000333369","1.00000333369"
"0","20250224","0.999988423067","0.999988423067"
"0","20250225","0.999990412962","0.999990412962"
"0","20250226","1.00001867556","1.00001867556"
"0","20250227","1.00002039144","1.00002039144"
"0","20250228","1.00003220357","1.00003220357"
"0","20250303","0.99998053279","0.99998053279"
"0","20250304","0.99991349864","0.99991349864"
"0","20250305","1.00002611632","1.00002611632"
"0","20250306","0.999969278028","0.999969278028"
"0","20250307","0.999966871274","0.999966871274"
"0","20250310","0.999984866138","0.999984866138"
"0","20250311","1.00001509949","1.00001509949"
"0","20250312","1.00003697846","1.00003697846"
"0","20250313","0.999972545432","0.999972545432"
"0","20250314","1.00003625723","1.00003625723"
"0","20250317","1.00000223735","1.00000223735"
"0","20250318","1.00004091384","1.00004091384"
"0","20250319","1.00002436969","1.00002436969"
"0","20250320","0.99994775157","0.99994775157"
"0","20250321","1.00000557741","1.00000557741"
"0","20250324","1.00007739523","1.00007739523"
"0","20250325","0.999956722739","0.999956722739"
"0","20250326","1.00003905168","1.00003905168"
"0","20250327","1.00001474948","1.00001474948"
"0","20250328","0.999968369993","0.999968369993"
"0","20250331","0.999967325426","0.999967325426"
"0","20250401","0.999987752296","0.999987752296"
"0","20250402","1.00002042413","1.00002042413"
"0","20250403","0.99980390418","0.99980390418"
"0","20250404","1.00000433961","1.00000433961"
"0","20250407","1.00009189927","1.00009189927"
"0","20250408","0.999990074497","0.999990074497"
"0","20250409","0.99988129283","0.99988129283"
"0","20250410","0.999993334701","0.999993334701"
"0","20250411","0.999951847441","0.999951847441"
"0","20250414","0.999986080756","0.999986080756"
"0","20250415","0.99997438305","0.99997438305"
